name	term	lev	seq	value
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa04250	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa04327	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05082	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05277	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05294	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05341	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05432	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05476	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05539	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05734	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05736	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05792	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa05790	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06112	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa12226	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa12380	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa12402	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa12542	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa12700	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa12826	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa13136	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa13536	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa13897	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa13893	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa13896	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14027	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14223	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14241	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa27934	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa27957	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa28156	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa28313	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa28457	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa28780	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa28779	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa08540	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa08742	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa08868	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa08966	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa08976	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14391	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14441	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14582	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14751	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa14778	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15121	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15136	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15177	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15185	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15377	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11294	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11319	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11608	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11694	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11785	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa31660	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa18628	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa18743	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa18748	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa18863	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06510	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06511	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06512	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06656	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06662	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06657	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06769	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06773	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa06772	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa07070	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa07176	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa19320	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa19425	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa19816	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa22469	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa22561	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa22621	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa22752	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15458	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15632	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15646	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15645	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15647	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa15782	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa16245	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa16355	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10302	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10349	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10513	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10535	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10539	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10605	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10728	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11049	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa11050	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa09354	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa09418	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa09674	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa10079	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa21601	0
"double-stranded DNA binding"	GO:0003690	2	Mcavernosa21790	0
