"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00710659431383078 -1 552 "GO:0004871;GO:0060089" "molecular transducer activity" 1
0 0.00295247451334771 3 351 "GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0005261" "channel activity" 1
0 0.0183819821181988 5 221 "GO:0005262;GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 1
0 0.0229563362698027 2 700 "GO:0008324;GO:0022890;GO:0015318" "inorganic molecular entity transmembrane transporter activity" 1
0 0.0250445785830542 3 236 "GO:0022839;GO:0022836" "ion gated channel activity" 1
0 0.00260950710127672 3 424 "GO:0046873" "metal ion transmembrane transporter activity" 1
0 1 5 8 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 1 2 16 "GO:0000030" "mannosyltransferase activity" 1
0 1 2 25 "GO:0000049" "tRNA binding" 1
0 1 3 22 "GO:0000062;GO:1901567" "fatty acid derivative binding" 1
0 1 5 15 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 1
0 1 2 20 "GO:0000146" "microfilament motor activity" 1
0 0.221498882191128 2 35 "GO:0000149" "SNARE binding" 1
0 0.996224084980279 2 739 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 1
0 0.108012280786585 3 16 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 1 7 5 "GO:0000182" "rDNA binding" 1
0 1 4 13 "GO:0000217" "DNA secondary structure binding" 1
0 1 4 86 "GO:0000287" "magnesium ion binding" 1
0 1 3 7 "GO:0000295;GO:0015216;GO:0005346" "adenine nucleotide transmembrane transporter activity" 1
0 1 2 11 "GO:0000339" "RNA cap binding" 1
0 1 2 7 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 1 5 6 "GO:0000400" "four-way junction DNA binding" 1
0 1 2 8 "GO:0000403" "Y-form DNA binding" 1
0 1 4 12 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 1
0 1 2 103 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 1
0 1 2 6 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 1 2 22 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 1
0 0.700719974424068 2 167 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 1 4 47 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 1
0 0.399375625066551 -1 320 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 1 3 9 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 1 2 23 "GO:0001047" "core promoter binding" 1
0 0.117365029007239 -1 83 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.0487465274589552 -1 7 "GO:0001083" "obsolete transcription factor activity, RNA polymerase II basal transcription factor binding" 1
0 1 2 28 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 1 2 5 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 1
0 1 3 8 "GO:0001099;GO:0001098" "basal transcription machinery binding" 1
0 1 2 7 "GO:0001102" "RNA polymerase II activating transcription factor binding" 1
0 0.0350616120813712 -1 5 "GO:0001129;GO:0001132" "obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly" 1
0 1 3 30 "GO:0001158;GO:0035326" "enhancer binding" 1
0 1 -1 24 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 1 -1 21 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 1 2 29 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 1 3 42 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 1 3 9 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 1 2 10 "GO:0001530" "lipopolysaccharide binding" 1
0 1 2 13 "GO:0001540" "amyloid-beta binding" 1
0 1 2 5 "GO:0001571" "non-tyrosine kinase fibroblast growth factor receptor activity" 1
0 1 3 5 "GO:0001601" "peptide YY receptor activity" 1
0 0.0555175065633292 5 8 "GO:0001614;GO:0016502;GO:0035586;GO:0004931;GO:0035381" "purinergic receptor activity" 1
0 1 3 38 "GO:0001653;GO:0008528;GO:0008188" "peptide receptor activity" 1
0 1 3 66 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 2 7 "GO:0001727" "lipid kinase activity" 1
0 1 3 11 "GO:0001784" "phosphotyrosine residue binding" 1
0 1 3 9 "GO:0001786" "phosphatidylserine binding" 1
0 1 3 7 "GO:0001848" "complement binding" 1
0 1 3 11 "GO:0001871;GO:0030247;GO:0086080;GO:0098632;GO:0098631" "polysaccharide binding" 1
0 0.976130601005845 2 504 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "ribonucleotide binding" 1
0 1 2 6 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 17 "GO:0002039" "p53 binding" 1
0 1 2 6 "GO:0002151" "G-quadruplex RNA binding" 1
0 1 3 7 "GO:0002162;GO:0030297;GO:0030548;GO:0099602;GO:0035374" "acetylcholine receptor regulator activity" 1
0 0.861312296709412 3 660 "GO:0003677" "DNA binding" 1
0 0.0735537782112692 6 63 "GO:0003678" "DNA helicase activity" 1
0 1 2 6 "GO:0003680" "AT DNA binding" 1
0 1 2 226 "GO:0003682" "chromatin binding" 1
0 1 2 28 "GO:0003684" "damaged DNA binding" 1
0 1 3 9 "GO:0003688" "DNA replication origin binding" 1
0 1 2 194 "GO:0003690" "double-stranded DNA binding" 1
0 1 2 50 "GO:0003697" "single-stranded DNA binding" 1
0 0.771765302072482 2 388 "GO:0003700" "DNA-binding transcription factor activity" 1
0 1 3 8 "GO:0003707" "steroid hormone receptor activity" 1
0 0.362522815825711 2 178 "GO:0003713" "transcription coactivator activity" 1
0 1 2 116 "GO:0003714" "transcription corepressor activity" 1
0 0.841176631449497 4 452 "GO:0003723" "RNA binding" 1
0 1 6 75 "GO:0003724;GO:0004004;GO:0008186" "RNA helicase activity" 1
0 1 2 32 "GO:0003725" "double-stranded RNA binding" 1
0 1 2 56 "GO:0003727" "single-stranded RNA binding" 1
0 0.725887281460488 2 179 "GO:0003729" "mRNA binding" 1
0 1 2 36 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.550007177578126 2 111 "GO:0003735" "structural constituent of ribosome" 1
0 1 5 38 "GO:0003743" "translation initiation factor activity" 1
0 1 5 15 "GO:0003746" "translation elongation factor activity" 1
0 1 2 22 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 2 24 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, interconverting keto- and enol-groups" 1
0 0.543433129748235 7 109 "GO:0003774" "motor activity" 1
0 0.428655225362386 8 78 "GO:0003777" "microtubule motor activity" 1
0 1 4 163 "GO:0003779" "actin binding" 1
0 1 2 6 "GO:0003785" "actin monomer binding" 1
0 1 2 6 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
