beta  ances 
0.207 0.368
0.213 0.373
0.211 0.373
0.212 0.372
0.213 0.376
0.215 0.375
0.217 0.374
0.216 0.375
0.216 0.374
0.215 0.376
0.215 0.377
0.215 0.378
0.214 0.377
0.214 0.379
0.215 0.378
0.215 0.377
0.215 0.377
0.216 0.377
0.216 0.377
0.217 0.377
0.217 0.376
0.216 0.377
0.217 0.377
0.216 0.379
0.216 0.379
0.216 0.380
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.379
0.217 0.380
0.217 0.379
0.217 0.379
0.217 0.379
0.216 0.380
0.216 0.380
0.216 0.380
0.216 0.380
0.216 0.380
0.216 0.380
0.216 0.379
0.216 0.379
0.216 0.379
0.215 0.379
