beta  ances 
0.214 0.372
0.210 0.385
0.211 0.385
0.215 0.380
0.215 0.378
0.218 0.385
0.216 0.384
0.215 0.384
0.215 0.385
0.218 0.385
0.217 0.385
0.218 0.384
0.217 0.384
0.218 0.384
0.218 0.384
0.218 0.384
0.217 0.385
0.216 0.385
0.217 0.384
0.216 0.384
0.216 0.384
0.216 0.384
0.216 0.384
0.217 0.384
0.216 0.383
0.216 0.382
0.216 0.382
0.216 0.382
0.216 0.383
0.216 0.383
0.217 0.383
0.217 0.382
0.217 0.382
0.217 0.382
0.216 0.381
0.216 0.382
0.217 0.382
0.217 0.382
0.217 0.382
0.216 0.382
0.216 0.382
0.216 0.383
0.216 0.382
0.216 0.383
0.217 0.383
0.217 0.383
0.217 0.382
0.217 0.383
0.217 0.383
