# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 14:59:08 CDT 2019 [seed=1572551891175]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1508786.28410085	-403397.0736005647	-1105389.2105002855	496.0	16947.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-1105389.2105002855	0.0	-403397.0
1000	-1066901.2910548497	-7469.200098095717	-1059432.090956754	183.87859385505251	4584.3847805275755	12.695469025518447	2.5811708640886266	0.2500000001	0.2499999999	0.2571928975131781	0.2428071024868219	1.0	1.0	-1059432.090956754	0.0	-7466.359429993142
2000	-814800.46681029	-625.4601031147715	-814175.0067071753	49.077033414217766	914.2510067055607	133.1658184049094	10.49119014145707	0.24653419478063485	0.25375838244064214	0.2605933315368797	0.2391140912418433	1.0	1.0	-814175.0067071753	0.0	-618.28398643783
3000	-549082.7723187063	-493.47508851542625	-548589.2972301908	21.457519577862097	275.5452167273558	64.93621478022949	25.446577941251658	0.24653419478063485	0.24308757301779732	0.28076901468965915	0.2296092175119087	1.0	1.0	-548589.2972301908	0.0	-485.11404449975913
4000	-363530.15243023366	-303.1531765205548	-363226.9992537131	2.84718609099351	31.837978566476067	13.135252431272622	39.036682968128666	0.24985453978395758	0.24666860005514954	0.2910557807349429	0.21242107942595	1.0	1.0	-363226.9992537131	0.0	-295.2911901336421
5000	-305454.4585262139	-208.18691362910738	-305246.27161258477	0.7652473127747048	7.703034829949327	5.731233217474207	18.549841983864184	0.24067851414561267	0.25979653994233215	0.2871038664861052	0.21242107942595	1.0	1.0	-305246.27161258477	0.0	-202.98998413704658
6000	-276035.96337948757	-164.58095423164093	-275871.38242525596	0.6649994945567893	7.482035393496828	2.3398045967400485	9.501865942157021	0.23637194313380033	0.26289796626367495	0.28240976119650074	0.218320329406024	1.0	1.0	-275871.38242525596	0.0	-161.62788473777238
7000	-261494.9534096607	-163.39081936411128	-261331.56259029658	0.5073531518744752	6.490959870436307	1.5286470234410114	6.167280156796325	0.21682017882473667	0.27187117223652285	0.2833723105513111	0.22793633838742933	1.0	1.0	-261331.56259029658	0.0	-161.5820770453563
8000	-253070.7690295517	-175.35884469725224	-252895.41018485447	0.43468439450230967	6.598283076790193	1.9551784813378053	3.8934190861659963	0.22545875045703337	0.26323260060422615	0.2820323275181437	0.22927632142059673	1.0	1.0	-252895.41018485447	0.0	-173.9374448322348
9000	-246051.49691583568	-183.7455922127278	-245867.75132362294	0.2843691246184576	6.239340471329747	2.086980845039758	3.9373383749046056	0.22285149342986457	0.26323260060422615	0.2794856063648984	0.23443029960101083	1.0	1.0	-245867.75132362294	0.0	-182.24511853690973
10000	-243792.56844043804	-197.19633693982007	-243595.37210349823	0.21510974145967254	6.479981419442682	1.8932342820177284	3.729415776336981	0.22285149342986457	0.2606646147226064	0.2794856063648984	0.23699828548263063	1.0	1.0	-243595.37210349823	0.0	-195.8594712822318
11000	-242519.17684442204	-195.13951414675623	-242324.03733027529	0.17262730640575605	6.3298328366669665	2.2867064046566865	3.83625697139699	0.22285149342986457	0.2606646147226064	0.2777564976036046	0.23872739424392442	1.0	1.0	-242324.03733027529	0.0	-193.57960480592982
12000	-240777.66301515815	-197.42782099086952	-240580.23519416727	0.1638545380016816	6.25270192224146	2.455545101750123	3.83625697139699	0.22285149342986457	0.25987896825205614	0.27854214407415484	0.23872739424392442	1.0	1.0	-240580.23519416727	0.0	-195.79667540711895
13000	-239686.8333485401	-201.6017417888897	-239485.23160675121	0.13853896877398023	6.2868922658200495	2.125615943240136	3.83625697139699	0.22485252471108677	0.25987896825205614	0.27683078462209193	0.23843772241476516	1.0	1.0	-239485.23160675121	0.0	-200.11488336309296
14000	-238748.46705627404	-201.54674484442486	-238546.92031142963	0.13993961024493687	6.282510812734521	2.7219761461817944	3.83625697139699	0.22485252471108677	0.25987896825205614	0.27556548557093463	0.23970302146592243	1.0	1.0	-238546.92031142963	0.0	-199.81258989379847
15000	-237895.75598389632	-202.1323954549039	-237693.6235884414	0.13472422378568052	6.227988331059511	2.6857115981099207	3.83625697139699	0.22563592244970845	0.25987896825205614	0.27549946837431805	0.23898564092391733	1.0	1.0	-237693.6235884414	0.0	-200.41165292504957
16000	-237264.01961020907	-202.71757429240395	-237061.30203591665	0.12715112578729548	6.17307261843992	2.6277701051066416	3.684043710366671	0.224359281571997	0.25987896825205614	0.27761971235567307	0.23814203782027374	1.0	1.0	-237061.30203591665	0.0	-201.06752981922665
17000	-236704.81036190275	-203.6153082351686	-236501.1950536676	0.11579179364620606	6.159296385741901	2.4798814739470996	3.7368357892710273	0.2232268331882594	0.2606716387553803	0.2779594902360865	0.23814203782027374	1.0	1.0	-236501.1950536676	0.0	-202.00612726413055
18000	-236526.53816582114	-203.93518275725344	-236322.6029830639	0.11287908945754853	6.155750159555337	2.4548293743475167	3.7368357892710273	0.2232268331882594	0.26110806607604836	0.2787426923457765	0.23692240838991568	1.0	1.0	-236322.6029830639	0.0	-202.33615529493986
19000	-236336.23592788615	-206.71154676313992	-236129.52438112302	0.11153587165785789	6.185927337341824	3.066530804033445	3.7368357892710273	0.2232268331882594	0.2590528805343729	0.2807978778874519	0.23692240838991568	1.0	1.0	-236129.52438112302	0.0	-204.89002966700048
20000	-235900.10006625863	-205.67792644650797	-235694.42213981212	0.10808901016048371	6.163383678073883	2.5253684517406834	3.7368357892710273	0.2232268331882594	0.2590528805343729	0.2765361958013653	0.2411840904760023	1.0	1.0	-235694.42213981212	0.0	-204.05056926817815
21000	-235618.6828408657	-207.6433963108159	-235411.03944455486	0.10803456039153053	6.1975277143508	2.9714816190092805	3.8297152981269007	0.2232268331882594	0.2582466520553497	0.2791457437327614	0.23938077102362942	1.0	1.0	-235411.03944455486	0.0	-205.8236208427162
22000	-235347.96566756335	-206.30894846575362	-235141.6567190976	0.10541887315337366	6.124007029511099	2.8123035488871477	3.8297152981269007	0.22162498485402127	0.2544154632434383	0.28057980620379236	0.24337974569874804	1.0	1.0	-235141.6567190976	0.0	-204.54422977189134
23000	-235252.4568580017	-207.90638659002894	-235044.55047141167	0.10555349812621644	6.132191196284167	2.2225773007052276	3.7622653587401613	0.22162498485402127	0.2543092069897832	0.2796411632445157	0.24442464491167976	1.0	1.0	-235044.55047141167	0.0	-206.39857081775665
24000	-235124.97754157294	-207.56987676559007	-234917.40766480734	0.10477572747216814	6.143492824201405	2.7171169266677104	3.7622653587401613	0.22298117540140286	0.25977925709237853	0.27828497269713415	0.23895459480908443	1.0	1.0	-234917.40766480734	0.0	-205.86115709735958
25000	-234954.92815092337	-209.08199904135134	-234745.84615188203	0.1013628121410938	6.199582186799569	2.6542466609076243	3.7622653587401613	0.22500609526517082	0.2549485738681634	0.28109073605758134	0.23895459480908443	1.0	1.0	-234745.84615188203	0.0	-207.3966898669564
26000	-234918.4203227787	-209.36377383854463	-234709.05654894013	0.09901303171039505	6.185111869619891	2.5029477608469004	3.813057395257807	0.22087883685231355	0.26015329686517735	0.2810483762572341	0.23791949002527502	1.0	1.0	-234709.05654894013	0.0	-207.7208993028654
27000	-234764.6196335573	-209.93751367550502	-234554.6821198818	0.09590941233827185	6.161909315860441	2.3650780287234436	3.813057395257807	0.22045685407484797	0.25787125551589424	0.2833304176065172	0.2383414728027406	1.0	1.0	-234554.6821198818	0.0	-208.35129726692375
28000	-234738.29273707687	-209.82434415182706	-234528.46839292505	0.09569681685759031	6.1749510691543446	2.894183358945727	3.813057395257807	0.22045685407484797	0.25799342838054756	0.2833304176065172	0.2382192999380873	1.0	1.0	-234528.46839292505	0.0	-208.03623577325212
29000	-234679.76094334724	-209.8122501238814	-234469.94869322336	0.09524676318866455	6.137462893836744	2.3545529220255537	3.713870968301643	0.2203131592944003	0.25799342838054756	0.2833304176065172	0.23836299471853498	1.0	1.0	-234469.94869322336	0.0	-208.26233691893424
30000	-234630.76478629716	-210.87898283274393	-234419.88580346442	0.09419624278659033	6.141417819839556	3.225732585929518	3.713870968301643	0.22438669832228691	0.25414545542223566	0.2813091428097641	0.2401587034457134	1.0	1.0	-234419.88580346442	0.0	-209.01426041233657
31000	-234574.21136439522	-209.62689494203119	-234364.5844694532	0.09450588970859858	6.161162818338479	2.6334939989248634	3.713870968301643	0.22287089710899163	0.2541634058966663	0.27951956458986194	0.2434461324044802	1.0	1.0	-234364.5844694532	0.0	-207.96502112330913
32000	-234525.3149773284	-209.93423897214961	-234315.38073835627	0.09508780816593772	6.177852475275122	2.7586017115303783	3.739088442207284	0.22287089710899163	0.26101831777110385	0.27951956458986194	0.2365912205300427	1.0	1.0	-234315.38073835627	0.0	-208.21781934210014
33000	-234501.51728960176	-210.86418401988527	-234290.65310558188	0.09507266993710128	6.187599747590599	3.0296688258172884	3.815391949268168	0.2239788839514276	0.25910459932221486	0.2789117569419554	0.23800475978440222	1.0	1.0	-234290.65310558188	0.0	-209.0295805547305
34000	-234427.6065185872	-210.94240741843956	-234216.66411116876	0.09381611450129344	6.203828956568045	2.5319075309189003	3.815391949268168	0.2239788839514276	0.256818091863255	0.2789117569419554	0.24029126724336208	1.0	1.0	-234216.66411116876	0.0	-209.28728428498158
35000	-234387.16262596473	-210.11849263817726	-234177.04413332656	0.09409881527850839	6.165350694214079	2.6839042592720497	3.7837882399973557	0.2251635196077214	0.25794623798459765	0.27778361082061276	0.23910663158706827	1.0	1.0	-234177.04413332656	0.0	-208.41517035395032
36000	-234268.67766844688	-210.31198407648955	-234058.3656843704	0.09450241101953262	6.168833215114915	2.8300790733767553	3.7837882399973557	0.2251635196077214	0.2558276870782829	0.27990232455805425	0.23910646875594152	1.0	1.0	-234058.3656843704	0.0	-208.55562968743646
37000	-234182.93409638657	-211.89557456454264	-233971.03852182202	0.0959762337449918	6.203507928269488	3.216807071480411	3.754377246770116	0.22471550023425513	0.25651123196178627	0.2777641013153519	0.24100916648860676	1.0	1.0	-233971.03852182202	0.0	-210.02057100371928
38000	-234127.40278410396	-211.9288043837482	-233915.4739797202	0.09436430923783934	6.188928737996721	3.2094572410406124	3.7362024100121873	0.22471550023425513	0.25776100818096886	0.2777641013153519	0.23975939026942417	1.0	1.0	-233915.4739797202	0.0	-210.0619363659697
39000	-234084.25325654782	-209.8583436179056	-233874.3949129299	0.09459332576082356	6.141545523199287	2.7528378916632774	3.749406838221603	0.22109079291849365	0.2547119084971552	0.28081320099916557	0.24338409758518564	1.0	1.0	-233874.3949129299	0.0	-208.14069499577923
40000	-233994.38800959784	-210.2098549764191	-233784.17815462142	0.09349565288868232	6.145115564638928	2.800580066972336	3.749406838221603	0.22184454850661403	0.25915397157512826	0.2756173823330721	0.24338409758518564	1.0	1.0	-233784.17815462142	0.0	-208.4750121319698
