# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 15:25:31 CDT 2019 [seed=1572551891175]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
100000	-232088.5395640804	-232300.29860307905	-211.75903899865546	1.0	-232300.29860307905
110000	-232098.67160830108	-232309.66443487303	-210.99282657193586	1.0	-232309.66443487303
120000	-232094.49110183492	-232307.36592460293	-212.87482276800935	1.0	-232307.36592460293
130000	-232093.94254437494	-232306.20327472527	-212.26073035033752	1.0	-232306.20327472527
140000	-232088.44539883544	-232300.55795359664	-212.11255476119857	1.0	-232300.55795359664
150000	-232098.0568721176	-232309.04071799497	-210.98384587736726	1.0	-232309.04071799497
160000	-232100.5790895653	-232315.65071823355	-215.07162866826374	1.0	-232315.65071823355
170000	-232099.80980171118	-232313.1238115337	-213.31400982253896	1.0	-232313.1238115337
180000	-232100.59078801842	-232312.1413893696	-211.5506013511757	1.0	-232312.1413893696
190000	-232096.63911667044	-232308.74429397995	-212.10517730950383	1.0	-232308.74429397995
200000	-232090.51612276363	-232300.67194843732	-210.1558256736903	1.0	-232300.67194843732
210000	-232092.82230407262	-232304.15615518205	-211.3338511094466	1.0	-232304.15615518205
220000	-232104.652596604	-232315.9720264075	-211.31942980348632	1.0	-232315.9720264075
230000	-232087.9404414601	-232299.31124130258	-211.3707998425004	1.0	-232299.31124130258
240000	-232095.1385615601	-232306.5974248311	-211.45886327099458	1.0	-232306.5974248311
250000	-232094.97142842883	-232306.50605538266	-211.53462695384061	1.0	-232306.50605538266
260000	-232096.2573841666	-232307.36521777432	-211.10783360773448	1.0	-232307.36521777432
270000	-232093.04971470262	-232305.04036941248	-211.99065470987605	1.0	-232305.04036941248
280000	-232109.2777167835	-232321.8969210007	-212.61920421721706	1.0	-232321.8969210007
290000	-232093.22826628335	-232305.17001698687	-211.941750703528	1.0	-232305.17001698687
