bams kmeans admix
MCDA10 4 2
MCDA11 4 2
MCDA12 2 1
MCDA13 2 1
MCDA14 2 1
MCDA15 4 2
MCDA17 4 2
MCDA19 3 3
MCDA1 2 1
MCDA20c-3 4 2
MCDA2 4 2
MCDA4 2 1
MCDA5 4 2
MCDA6 4 2
MCDA7 4 2
MCDJ10 2 1
MCDJ11 4 2
MCDJ12 2 1
MCDJ14 4 2
MCDJ15 4 2
MCDJ16 4 2
MCDJ17 4 2
MCDJ18 4 2
MCDJ19c-1 3 1.3
MCDJ1 4 2
MCDJ20 4 2
MCDJ4 4 2
MCDJ6 4 2
MCDJ7 4 2
MCDJ8 4 2
MCDJ9 4 2
MCNA10 1 4
MCNA11 1 4
MCNA12 3 3
MCNA13 1 4
MCNA14 3 3
MCNA18 3 3
MCNA19 1 4
MCNA1 1 4
MCNA20 1 4
MCNA2 3 3
MCNA3 1 4
MCNA4 1 4
MCNA5 1 4
MCNA6 1 4
MCNA7 1 4
MCNA8 1 4
MCNA9 1 4
MCNJ10 1 4
MCNJ11 1 4
MCNJ12 3 3
MCNJ13 1 4
MCNJ14 3 3
MCNJ15c 1 4
MCNJ16 3 3
MCNJ17 1 4
MCNJ18 3 3.4
MCNJ19 3 3
MCNJ1 1 4
MCNJ20 1 4
MCNJ2 1 4
MCNJ3 3 3
MCNJ5c 3 3
MCNJ6 1 4
MCNJ7 1 4
MCNJ8 3 3
MCNJ9 3 3.4
MCOA10 3 1.3
MCOA11 3 3.4
MCOA12 1 4
MCOA13 3 3
MCOA14 3 3
MCOA15 1 4
MCOA16 2 1
MCOA17 3 3
MCOA18 3 3
MCOA19 1 4
MCOA1 3 3
MCOA20 1 4
MCOA2 3 3
MCOA3 3 1.3
MCOA4 3 3
MCOA6 1 4
MCOA7 3 3
MCOA8 3 3
MCOA9 3 3
MCOJ10 3 3
MCOJ11 3 3
MCOJ12 1 4
MCOJ13 1 4
MCOJ14 3 3
MCOJ15 1 4
MCOJ16 1 4
MCOJ17 3 3
MCOJ18 1 4
MCOJ19 3 3
MCOJ1 1 4
MCOJ2 3 3
MCOJ3 3 3
MCOJ4 1 4
MCOJ5c 1 4
MCOJ6 3 3
MCOJ7 1 3.4
MCOJ8 3 3
MCOJ9 1 4
