gene,moduleLPV
Mcavernosa04235,0
Mcavernosa04241,0
Mcavernosa04243,0
Mcavernosa04245,0
Mcavernosa04249,0
Mcavernosa04252,0
Mcavernosa04256,0
Mcavernosa04264,0
Mcavernosa04265,0
Mcavernosa04276,0
Mcavernosa04280,0
Mcavernosa04282,0
Mcavernosa04290,0
Mcavernosa04292,0
Mcavernosa04294,0
Mcavernosa04302,0
Mcavernosa04310,0
Mcavernosa04313,0
Mcavernosa04314,0
Mcavernosa04315,0
Mcavernosa04316,0
Mcavernosa04318,5.96895310850748
Mcavernosa04322,0
Mcavernosa04325,0
Mcavernosa04327,0
Mcavernosa04328,0
Mcavernosa04334,0
Mcavernosa04339,0
Mcavernosa04342,0.562258943884434
Mcavernosa04348,0
Mcavernosa04354,0
Mcavernosa04358,0
Mcavernosa04371,0
Mcavernosa04375,0
Mcavernosa04377,0
Mcavernosa04385,0
Mcavernosa04386,0
Mcavernosa04387,0
Mcavernosa04388,0
Mcavernosa04389,0
Mcavernosa04397,0.681039652087204
Mcavernosa04398,0
Mcavernosa04402,0
Mcavernosa04408,0
Mcavernosa04409,0
Mcavernosa04412,4.69895251927944
Mcavernosa04418,0
Mcavernosa04420,0
Mcavernosa04428,9.18974218468747
Mcavernosa04431,0
Mcavernosa04436,0
Mcavernosa04438,0
Mcavernosa04441,0
Mcavernosa04445,0
Mcavernosa04451,0
Mcavernosa04456,0
Mcavernosa04460,0
Mcavernosa04472,0
Mcavernosa04473,0.354100383020466
Mcavernosa04479,0
Mcavernosa04480,0
Mcavernosa04482,0
Mcavernosa04490,0
Mcavernosa04497,0
Mcavernosa04499,0.221685192579818
Mcavernosa04501,0
Mcavernosa04504,0
Mcavernosa04500,0
Mcavernosa04507,0
Mcavernosa04510,2.30466877611952
Mcavernosa04515,0
Mcavernosa04523,0
Mcavernosa04531,0
Mcavernosa04534,0
Mcavernosa04541,0
Mcavernosa04542,0
Mcavernosa04545,0
Mcavernosa04546,0
Mcavernosa04548,0
Mcavernosa04549,0
Mcavernosa04551,0
Mcavernosa04556,0
Mcavernosa04567,0
Mcavernosa04569,0
Mcavernosa04574,0
Mcavernosa04577,0
Mcavernosa04587,0
Mcavernosa04591,0
Mcavernosa04605,0
Mcavernosa04608,0
Mcavernosa04612,0
Mcavernosa04614,0
Mcavernosa04607,0
Mcavernosa04609,0
Mcavernosa04615,0
Mcavernosa04606,0
Mcavernosa04613,0
Mcavernosa04621,0
Mcavernosa04625,0
Mcavernosa04633,0
Mcavernosa04635,0
Mcavernosa04644,17.613760808368
Mcavernosa04649,0
Mcavernosa04655,0
Mcavernosa04656,0
Mcavernosa04658,0
Mcavernosa04661,0
Mcavernosa04662,0
Mcavernosa04663,0
Mcavernosa04667,0
Mcavernosa04669,0.761845308525459
Mcavernosa04672,0
Mcavernosa04675,0
Mcavernosa04686,0
Mcavernosa04691,0
Mcavernosa04693,0
Mcavernosa04701,0
Mcavernosa04715,0
Mcavernosa04718,0
Mcavernosa04724,0
Mcavernosa04735,0
Mcavernosa04736,0
Mcavernosa04738,0
Mcavernosa04743,0
Mcavernosa04745,0
Mcavernosa04747,0
Mcavernosa04770,0
Mcavernosa04748,0
Mcavernosa04756,0
Mcavernosa04769,0.116616124589112
Mcavernosa04772,0
Mcavernosa04749,0
Mcavernosa04768,0
Mcavernosa04750,0
Mcavernosa04755,0
Mcavernosa04762,0
Mcavernosa04771,0
Mcavernosa04773,0
Mcavernosa04778,0
Mcavernosa04780,0
Mcavernosa04781,0.832840776467816
Mcavernosa04784,0
Mcavernosa04785,0
Mcavernosa04787,0
Mcavernosa04790,0
Mcavernosa04795,0
Mcavernosa04797,0
Mcavernosa04802,0
Mcavernosa04810,0
Mcavernosa04816,0
Mcavernosa04818,0
Mcavernosa04840,0
Mcavernosa04845,0.212983706926908
Mcavernosa04848,0
Mcavernosa04849,0
Mcavernosa04853,0
Mcavernosa04851,0
Mcavernosa04855,0
Mcavernosa04856,0
Mcavernosa04858,0
Mcavernosa04867,0
Mcavernosa04869,0
Mcavernosa04877,0
Mcavernosa04879,0
Mcavernosa04888,0
Mcavernosa04889,0
Mcavernosa04890,0
Mcavernosa04895,0
Mcavernosa04900,0
Mcavernosa04906,0
Mcavernosa04910,0
Mcavernosa04914,0.554919739181532
Mcavernosa04926,0.0226732687606161
Mcavernosa04932,0
Mcavernosa04935,0
Mcavernosa04940,18.7886979513959
Mcavernosa04943,0
Mcavernosa04945,0
Mcavernosa04947,0
Mcavernosa04950,0
Mcavernosa04955,0
Mcavernosa04959,2.27088235191998
Mcavernosa04962,0
Mcavernosa04964,0
