gene,moduleLPV
Mcavernosa04235,0
Mcavernosa04241,0
Mcavernosa04239,0
Mcavernosa04243,0
Mcavernosa04242,0
Mcavernosa04238,0
Mcavernosa04237,0
Mcavernosa04236,0
Mcavernosa04245,0
Mcavernosa04249,0
Mcavernosa04248,0
Mcavernosa04247,0
Mcavernosa04250,0
Mcavernosa04246,0
Mcavernosa04244,0
Mcavernosa04252,0
Mcavernosa04256,0
Mcavernosa04255,0
Mcavernosa04257,0
Mcavernosa04253,0
Mcavernosa04264,0
Mcavernosa04265,0
Mcavernosa04266,0
Mcavernosa04263,0
Mcavernosa04258,0
Mcavernosa04262,0
Mcavernosa04259,0
Mcavernosa04260,0
Mcavernosa04276,0
Mcavernosa04280,0
Mcavernosa04278,0
Mcavernosa04270,0
Mcavernosa04272,0
Mcavernosa04267,0
Mcavernosa04281,0
Mcavernosa04279,0
Mcavernosa04271,0
Mcavernosa04282,0
Mcavernosa04274,0
Mcavernosa04290,0
Mcavernosa04284,0
Mcavernosa04283,0
Mcavernosa04285,0
Mcavernosa04289,0
Mcavernosa04288,0
Mcavernosa04287,0
Mcavernosa04292,0
Mcavernosa04294,0
Mcavernosa04302,0
Mcavernosa04297,0
Mcavernosa04299,0
Mcavernosa04298,0
Mcavernosa04301,0
Mcavernosa04310,4.76662207068472
Mcavernosa04305,0
Mcavernosa04308,0
Mcavernosa04312,0
Mcavernosa04313,0
Mcavernosa04314,0
Mcavernosa04315,0
Mcavernosa04316,0
Mcavernosa04317,0
Mcavernosa04318,0
Mcavernosa04322,0
Mcavernosa04323,0
Mcavernosa04325,0
Mcavernosa04324,0
Mcavernosa04321,0
Mcavernosa04327,0
Mcavernosa04320,0
Mcavernosa04328,0
Mcavernosa04334,0
Mcavernosa04331,0
Mcavernosa04329,0
Mcavernosa04330,0
Mcavernosa04333,0
Mcavernosa04332,0
Mcavernosa04339,0
Mcavernosa04342,0
Mcavernosa04337,0
Mcavernosa04336,0
Mcavernosa04335,0
Mcavernosa04348,0
Mcavernosa04344,0
Mcavernosa04346,0
Mcavernosa04347,0
Mcavernosa04343,0
Mcavernosa04354,0
Mcavernosa04358,0
Mcavernosa04350,0
Mcavernosa04351,0
Mcavernosa04355,0
Mcavernosa04357,0
Mcavernosa04353,0
Mcavernosa04359,0
Mcavernosa04371,0
Mcavernosa04369,0
Mcavernosa04365,0
Mcavernosa04370,0
Mcavernosa04368,0
Mcavernosa04360,0
Mcavernosa04362,0
Mcavernosa04366,0
Mcavernosa04364,0
Mcavernosa04367,0
Mcavernosa04375,0
Mcavernosa04376,0
Mcavernosa04373,0
Mcavernosa04372,0
Mcavernosa04377,0
Mcavernosa04374,0
Mcavernosa04385,0
Mcavernosa04386,0
Mcavernosa04387,0
Mcavernosa04378,0
Mcavernosa04380,0
Mcavernosa04384,0
Mcavernosa04388,0
Mcavernosa04389,0
Mcavernosa04397,0
Mcavernosa04394,0
Mcavernosa04398,0
Mcavernosa04392,0
Mcavernosa04395,0
Mcavernosa04402,0
Mcavernosa04401,0
Mcavernosa04399,0
Mcavernosa04400,0
Mcavernosa04408,0
Mcavernosa04404,0
Mcavernosa04409,0
Mcavernosa04407,0
Mcavernosa04403,0
Mcavernosa04405,0
Mcavernosa04412,0
Mcavernosa04418,0
Mcavernosa04420,0
Mcavernosa04415,0
Mcavernosa04416,0
Mcavernosa04413,0
Mcavernosa04417,0
Mcavernosa04410,0
Mcavernosa04419,0
Mcavernosa04428,0
Mcavernosa04429,0
Mcavernosa04424,0
Mcavernosa04423,0
Mcavernosa04426,0
Mcavernosa04421,0
Mcavernosa04425,0
Mcavernosa04427,0
Mcavernosa04431,0
Mcavernosa04430,0
Mcavernosa04436,0
Mcavernosa04434,0
Mcavernosa04433,0
Mcavernosa04438,0
Mcavernosa04437,0
Mcavernosa04441,0
Mcavernosa04445,0
Mcavernosa04439,0
Mcavernosa04443,0
Mcavernosa04442,0
Mcavernosa04444,0
Mcavernosa04451,0
Mcavernosa04450,0
Mcavernosa04456,0
Mcavernosa04460,0
Mcavernosa04448,0
Mcavernosa04453,0
Mcavernosa04459,0
Mcavernosa04454,0
Mcavernosa04452,0
Mcavernosa04455,0
Mcavernosa04449,0
Mcavernosa04472,0
Mcavernosa04467,0
Mcavernosa04470,0
Mcavernosa04469,0
Mcavernosa04464,0
Mcavernosa04457,0
Mcavernosa04468,0
Mcavernosa04473,0
Mcavernosa04461,0
Mcavernosa04471,0
Mcavernosa04462,0
Mcavernosa04465,0
Mcavernosa04479,0
Mcavernosa04475,0
Mcavernosa04480,0
Mcavernosa04476,0
Mcavernosa04474,0
