bams kmeans admix
SSDA10 2 2
SSDA11 1 3
SSDA12 2 2
SSDA13 1 3
SSDA14 1 3
SSDA15 2 2
SSDA16 2 2
SSDA17 2 2
SSDA18 2 2
SSDA19_filt 2 2
SSDA1 2 2
SSDA20c-3 2 2
SSDA2 1 3
SSDA3 2 2
SSDA4 2 2
SSDA5 2 2
SSDA6 1 3
SSDA7 2 2
SSDA8 2 2
SSDA9 1 3
SSDJ10 1 3
SSDJ11 1 3
SSDJ12 1 3
SSDJ13 1 3
SSDJ14 2 2
SSDJ15 1 3
SSDJ17 1 3
SSDJ18 1 3
SSDJ19c-1 1 3
SSDJ1 1 3
SSDJ20c-2 2 2
SSDJ2 1 3
SSDJ3 2 2
SSDJ4 1 3
SSDJ5 2 2
SSDJ6 1 3
SSDJ7 1 3
SSDJ8 2 2
SSDJ9 2 2
SSNA10 1 3
SSNA11 3 1
SSNA12 1 3
SSNA13 1 3
SSNA14 1 3
SSNA15 1 3
SSNA16 1 3
SSNA17 1 3
SSNA18 3 1
SSNA19 1 3
SSNA20 1 3
SSNA2 3 1
SSNA3 3 1
SSNA4 1 3
SSNA5 1 3
SSNA6 1 3
SSNA7 1 3
SSNA8 1 3
SSNA9 1 3
SSNJ10 2 1.2
SSNJ11 1 3
SSNJ12 1 3
SSNJ13 1 3
SSNJ14 1 3
SSNJ15 1 3
SSNJ16 1 3
SSNJ17 1 3
SSNJ18 1 3
SSNJ1 1 3
SSNJ2 1 3
SSNJ3 1 3
SSNJ4 1 3
SSNJ5 1 3
SSNJ6 1 3
SSNJ7 1 3
SSNJ8 1 3
SSNJ9 3 1.3
SSOA10 1 3
SSOA11 3 1
SSOA12 1 3
SSOA13 1 3
SSOA14 1 3
SSOA15 1 3
SSOA16 1 3
SSOA17 1 3
SSOA18 1 3
SSOA19 1 3
SSOA1 3 1
SSOA20 1 3
SSOA2 3 1
SSOA3 1 3
SSOA5 1 3
SSOA6 1 3
SSOA7 1 3
SSOA9 1 3
SSOJ10 1 3
SSOJ11 1 3
SSOJ12 1 3
SSOJ14 1 3
SSOJ15 1 3
SSOJ16 1 3
SSOJ17 1 3
SSOJ19 1 3
SSOJ1 1 3
SSOJ20c-1 1 3
SSOJ2 1 3
SSOJ3 1 3
SSOJ4 1 3
SSOJ5 1 3
SSOJ6 1 3
SSOJ7 1 3
SSOJ8 1 3
SSOJ9 1 3
