bams kmeans admix
SSDA10 3 3
SSDA11 1 1
SSDA12 3 3
SSDA13 1 1
SSDA14 1 2
SSDA15 3 3
SSDA16 3 3
SSDA17 3 3
SSDA18 3 3
SSDA19 3 3
SSDA1 3 3
SSDA20c-3 3 3
SSDA2 1 1
SSDA3 3 3
SSDA4 3 3
SSDA5 3 3
SSDA6 1 1
SSDA7 3 3
SSDA8 3 3
SSDA9 1 1
SSDJ10 1 2
SSDJ11 1 2
SSDJ12 1 2
SSDJ13 1 2
SSDJ14 3 3
SSDJ15 1 1
SSDJ17 1 2
SSDJ18 1 2
SSDJ19c-1 1 1
SSDJ1 1 1
SSDJ20c-2 3 3
SSDJ2 1 2
SSDJ3 3 3
SSDJ4 1 2
SSDJ5 3 3
SSDJ6 1 1
SSDJ7 1 2
SSDJ8 3 3
SSDJ9 3 3
SSNA10 1 2
SSNA11 2 2.3
SSNA12 1 2
SSNA13 1 2
SSNA14 1 2
SSNA15 1 2
SSNA16 1 2
SSNA17 1 2
SSNA18 2 2.3
SSNA19 1 2
SSNA20 1 2
SSNA2 2 2.3
SSNA3 2 2.3
SSNA4 1 2
SSNA5 1 2
SSNA6 1 2
SSNA7 1 2
SSNA8 1 2
SSNA9 1 2
SSNJ10 3 3
SSNJ11 1 2
SSNJ12 1 2
SSNJ13 1 2
SSNJ14 1 2
SSNJ15 1 2
SSNJ16 1 2
SSNJ17 1 2
SSNJ18 1 2
SSNJ1 1 2
SSNJ2 1 2
SSNJ3 1 2
SSNJ4 1 2
SSNJ5 1 2
SSNJ6 1 2
SSNJ7 1 2
SSNJ8 1 2
SSNJ9 2 2.3
SSOA10 1 2
SSOA11 2 2.3
SSOA12 1 2
SSOA13 1 2
SSOA14 1 2
SSOA15 1 2
SSOA16 1 2
SSOA17 1 2
SSOA18 1 2
SSOA19 1 2
SSOA1 2 2.3
SSOA20 1 2
SSOA2 2 2.3
SSOA3 1 2
SSOA5 1 2
SSOA6 1 2
SSOA7 1 2
SSOA9 1 2
SSOJ10 1 2
SSOJ11 1 2
SSOJ12 1 2
SSOJ14 1 2
SSOJ15 1 2
SSOJ16 1 2
SSOJ17 1 2
SSOJ19 1 2
SSOJ1 1 2
SSOJ20c-1 1 2
SSOJ2 1 2
SSOJ3 1 2
SSOJ4 1 2
SSOJ5 1 2
SSOJ6 1 2
SSOJ7 1 2
SSOJ8 1 2
SSOJ9 1 2
