bams kmeans admix
SSDA10 1 4
SSDA11 3 3
SSDA12 1 4
SSDA13 3 3
SSDA14 3 1
SSDA15 1 4
SSDA16 1 4
SSDA17 1 4
SSDA18 1 4
SSDA19 1 4
SSDA1 1 4
SSDA20c-3 1 4
SSDA2 3 3
SSDA3 1 4
SSDA4 1 4
SSDA5 1 4
SSDA6 3 3
SSDA7 1 4
SSDA8 1 4
SSDA9 3 3
SSDJ10 3 1
SSDJ11 3 1
SSDJ12 3 1
SSDJ13 3 1
SSDJ14 1 4
SSDJ15 3 3
SSDJ17 3 1
SSDJ18 3 1
SSDJ19c-1 3 3
SSDJ1 3 3
SSDJ20c-2 1 4
SSDJ2 3 1
SSDJ3 1 4
SSDJ4 3 1
SSDJ5 1 4
SSDJ6 3 3
SSDJ7 3 1
SSDJ8 1 4
SSDJ9 1 4
SSNA10 3 1
SSNA11 4 2
SSNA12 3 1
SSNA13 3 1
SSNA14 3 1
SSNA15 3 1
SSNA16 3 1
SSNA17 3 1
SSNA18 4 2
SSNA19 3 1
SSNA20 3 1
SSNA2 4 2
SSNA3 4 2
SSNA4 3 1
SSNA5 3 1
SSNA6 3 1
SSNA7 3 1
SSNA8 3 1
SSNA9 3 1
SSNJ10 2 2.4
SSNJ11 3 1
SSNJ12 3 1
SSNJ13 3 1
SSNJ14 3 1
SSNJ15 3 1
SSNJ16 3 1
SSNJ17 3 1
SSNJ18 3 1
SSNJ1 3 1
SSNJ2 3 1
SSNJ3 3 1
SSNJ4 3 1
SSNJ5 3 1
SSNJ6 3 1
SSNJ7 3 1
SSNJ8 3 1
SSNJ9 2 1.2
SSOA10 3 1
SSOA11 4 2
SSOA12 3 1
SSOA13 3 1
SSOA14 3 1
SSOA15 3 1
SSOA16 3 1
SSOA17 3 1
SSOA18 3 1
SSOA19 3 1
SSOA1 4 2
SSOA20 3 1
SSOA2 4 2
SSOA3 3 1
SSOA5 3 1
SSOA6 3 1
SSOA7 3 1
SSOA9 3 1
SSOJ10 3 1
SSOJ11 3 1
SSOJ12 3 1
SSOJ14 3 1
SSOJ15 3 1
SSOJ16 3 1
SSOJ17 3 1
SSOJ19 3 1
SSOJ1 3 1
SSOJ20c-1 3 1
SSOJ2 3 1
SSOJ3 3 1
SSOJ4 3 1
SSOJ5 3 1
SSOJ6 3 1
SSOJ7 3 1
SSOJ8 3 1
SSOJ9 3 1
