beta  ances 
0.220 0.369
0.216 0.370
0.212 0.369
0.213 0.370
0.211 0.368
0.212 0.364
0.211 0.365
0.211 0.365
0.212 0.364
0.213 0.362
0.213 0.361
0.213 0.363
0.213 0.363
0.213 0.363
0.213 0.364
0.213 0.364
0.213 0.364
0.214 0.364
0.213 0.365
0.213 0.366
0.212 0.366
0.213 0.365
0.213 0.365
0.213 0.365
0.212 0.365
0.212 0.365
0.212 0.365
0.212 0.365
0.212 0.366
0.211 0.365
0.211 0.365
0.211 0.366
0.211 0.365
0.211 0.365
0.211 0.366
0.211 0.366
0.212 0.366
0.211 0.366
0.212 0.366
0.212 0.366
0.212 0.366
0.212 0.366
0.211 0.367
0.211 0.366
0.211 0.366
0.211 0.366
0.211 0.366
0.211 0.366
0.211 0.366
