beta  ances 
0.200 0.369
0.204 0.367
0.207 0.364
0.204 0.365
0.207 0.366
0.205 0.366
0.204 0.367
0.201 0.369
0.200 0.369
0.199 0.368
0.200 0.368
0.200 0.368
0.200 0.369
0.201 0.370
0.202 0.370
0.203 0.370
0.203 0.369
0.204 0.370
0.205 0.370
0.205 0.371
0.206 0.371
0.206 0.371
0.205 0.370
0.205 0.371
0.206 0.371
0.206 0.371
0.206 0.371
0.206 0.372
0.206 0.372
0.206 0.372
0.207 0.372
0.206 0.372
0.207 0.371
0.207 0.372
0.207 0.371
0.207 0.371
0.207 0.371
0.207 0.371
0.207 0.371
0.207 0.371
0.207 0.371
0.206 0.371
0.207 0.371
0.207 0.371
0.207 0.372
0.207 0.372
0.208 0.372
0.208 0.373
0.208 0.372
