# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 12:21:24 CST 2020 [seed=1577989241174]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-611216.4355846103	-112.71228242946033	-611103.7233021809	1.8632719909759454	10.646502231492681	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-611103.7233021809	0.0	-112.63868186477394
10000	-402437.6068885275	-181.02016996106966	-402256.5867185664	0.11078286085989394	5.0705472717370785	1.9321688445418101	3.439459130693005	0.232784223666348	0.27212942902902915	0.2600415391434369	0.23504480816118592	1.0	1.0	-402256.5867185664	0.0	-179.75817069891326
20000	-393611.0686000035	-183.71443940968607	-393427.3541605938	0.09527396222879371	4.97302182279577	1.8476200696999434	3.3931549159986467	0.23406275304370663	0.2701416119391238	0.26220923037343835	0.23358640464373118	1.0	1.0	-393427.3541605938	0.0	-182.51272147064503
30000	-392031.0410732413	-186.75427034133543	-391844.2868028999	0.09107783230933225	4.967710195898318	2.268876980055915	3.3929831369614156	0.2380578580113984	0.2684482016769071	0.2591571695871612	0.23433677072453332	1.0	1.0	-391844.2868028999	0.0	-185.3472235886162
40000	-391729.7436801855	-186.72419557817838	-391543.0194846073	0.0887726216994664	4.969481186083303	2.194412460039529	3.448537835285177	0.23790341107051596	0.2706570783310392	0.25901153184319076	0.23242797875525398	1.0	1.0	-391543.0194846073	0.0	-185.3318897845193
50000	-391415.3257627471	-185.6860800217317	-391229.63968272536	0.08815671723998623	4.9399970957452375	1.9076651753288087	3.3951425668406814	0.23673398021078004	0.2679325535008886	0.260570174558331	0.23476329173000013	1.0	1.0	-391229.63968272536	0.0	-184.45171153731056
60000	-391148.65243534953	-186.28089554619365	-390962.37153980334	0.08580790321216415	4.933933210639564	1.9693192756820985	3.4174222882198273	0.233733788914265	0.2709498370251162	0.26174929371829825	0.2335670803423202	1.0	1.0	-390962.37153980334	0.0	-185.00723394638845
70000	-390959.37458730786	-185.820931576382	-390773.5536557315	0.08797393584607979	4.9242125592594155	1.8492566650595104	3.4380419714064256	0.23486614797106722	0.27101167903239826	0.2604108293692233	0.2337113436273109	1.0	1.0	-390773.5536557315	0.0	-184.60326580934338
80000	-390840.8702677661	-187.04700680247552	-390653.82326096366	0.08697892746996357	4.942340450663655	1.7444015845835126	3.4002624913265294	0.2345581633335185	0.2693380531554428	0.2616373232970711	0.23446646021396722	1.0	1.0	-390653.82326096366	0.0	-185.90038478963268
90000	-390464.674116979	-186.6085036629651	-390278.065613316	0.08586022265755415	4.93013200586279	1.855526608448515	3.463675019223485	0.23341623500518174	0.2694748602703972	0.26197412906092593	0.23513477566349467	1.0	1.0	-390278.065613316	0.0	-185.37889068476537
100000	-390247.90638816106	-188.17033168197645	-390059.7360564791	0.08528714580225309	4.930347917201375	2.289478259236773	3.382280354021273	0.23336221387563583	0.2718245912833418	0.2618715077092669	0.23294168713175492	1.0	1.0	-390059.7360564791	0.0	-186.75785043376834
110000	-390161.386675213	-186.0686351723588	-389975.3180400406	0.08607622420382556	4.907653580862938	1.9483953405699892	3.4070355539249526	0.23648352922770613	0.2715962513656751	0.25884330327187355	0.23307691613474465	1.0	1.0	-389975.3180400406	0.0	-184.80914229355835
120000	-390107.36712124886	-187.45748398101648	-389919.9096372678	0.08637851970912674	4.927273270726238	2.1835908863888784	3.4312074773010446	0.23329079659408555	0.27181227712921313	0.2623757691417694	0.23252115713493138	1.0	1.0	-389919.9096372678	0.0	-186.07591902039155
130000	-390075.49673839554	-186.75072634963973	-389888.7460120459	0.08583669437569355	4.925389816773372	1.9008044184220152	3.4276349397337786	0.23391425254012832	0.2687961893087235	0.2639223202372744	0.23336723791387334	1.0	1.0	-389888.7460120459	0.0	-185.50905160089903
140000	-390062.55586636113	-186.8309058397761	-389875.72496052133	0.08454842040126496	4.921474720323653	1.9672613260827252	3.4236114302798315	0.23661463817682543	0.27130785021075293	0.261101393586742	0.2309761180256793	1.0	1.0	-389875.72496052133	0.0	-185.55621426967582
150000	-390028.23663688224	-186.59862276890485	-389841.63801411336	0.08563967271430656	4.933007312926732	1.9348325576261487	3.4254356362058336	0.2359960149463726	0.26933310967586255	0.260901871779666	0.23376900359809855	1.0	1.0	-389841.63801411336	0.0	-185.33994136645006
