bams kmeans admix
SSDA10 1 1
SSDA11 2 2
SSDA12 1 1
SSDA13 2 2
SSDA14 2 2
SSDA15 1 1
SSDA16 1 1
SSDA17 1 1
SSDA18 1 1
SSDA19_filt 1 1
SSDA1 1 1
SSDA20c-3 1 1
SSDA2 2 2
SSDA3 1 1
SSDA4 1 1
SSDA5 1 1
SSDA6 2 2
SSDA7 1 1
SSDA8 1 1
SSDA9 2 2
SSDJ10 2 2
SSDJ11 2 2
SSDJ12 2 2
SSDJ13 2 2
SSDJ14 1 1
SSDJ15 2 2
SSDJ17 2 2
SSDJ18 2 2
SSDJ19c-1 2 2
SSDJ1 2 2
SSDJ20c-2 1 1
SSDJ2 2 2
SSDJ3 1 1
SSDJ4 2 2
SSDJ5 1 1
SSDJ6 2 2
SSDJ7 2 2
SSDJ8 1 1
SSDJ9 1 1
SSNA10 2 2
SSNA11 2 1.2
SSNA12 2 2
SSNA13 2 2
SSNA14 2 2
SSNA15 2 2
SSNA16 2 2
SSNA17 2 2
SSNA18 2 1.2
SSNA19 2 2
SSNA20 2 2
SSNA2 2 1.2
SSNA3 2 1.2
SSNA4 2 2
SSNA5 2 2
SSNA6 2 2
SSNA7 2 2
SSNA8 2 2
SSNA9 2 2
SSNJ10 2 1
SSNJ11 2 2
SSNJ12 2 2
SSNJ13 2 2
SSNJ14 2 2
SSNJ15 2 2
SSNJ16 2 2
SSNJ17 2 2
SSNJ18 2 2
SSNJ1 2 2
SSNJ2 2 2
SSNJ3 2 2
SSNJ4 2 2
SSNJ5 2 2
SSNJ6 2 2
SSNJ7 2 2
SSNJ8 2 2
SSNJ9 2 1.2
SSOA10 2 2
SSOA11 2 1.2
SSOA12 2 2
SSOA13 2 2
SSOA14 2 2
SSOA15 2 2
SSOA16 2 2
SSOA17 2 2
SSOA18 2 2
SSOA19 2 2
SSOA1 2 1.2
SSOA20 2 2
SSOA2 2 1.2
SSOA3 2 2
SSOA5 2 2
SSOA6 2 2
SSOA7 2 2
SSOA9 2 2
SSOJ10 2 2
SSOJ11 2 2
SSOJ12 2 2
SSOJ14 2 2
SSOJ15 2 2
SSOJ16 2 2
SSOJ17 2 2
SSOJ19 2 2
SSOJ1 2 2
SSOJ20c-1 2 2
SSOJ2 2 2
SSOJ3 2 2
SSOJ4 2 2
SSOJ5 2 2
SSOJ6 2 2
SSOJ7 2 2
SSOJ8 2 2
SSOJ9 2 2
