bams kmeans admix
MCDA10 2 1.2
MCDA11 1 2
MCDA12 1 2
MCDA13 1 1.2
MCDA14 1 2
MCDA15 2 1.2
MCDA16 1 2
MCDA17 2 1
MCDA19 2 1
MCDA1 1 2
MCDA20 2 1
MCDA2 2 1.2
MCDA3 2 1.2
MCDA4 2 1
MCDA5 2 1
MCDA6 1 2
MCDA7 1 2
MCDA8 1 2
MCDA9 1 2
MCDJ10 2 1
MCDJ11 2 1
MCDJ12 2 1
MCDJ13 1 2
MCDJ14 1 2
MCDJ15 1 2
MCDJ16 2 1
MCDJ17 2 1
MCDJ18 1 2
MCDJ19 2 1
MCDJ20 2 1.2
MCDJ3 2 1
MCDJ4 2 1
MCDJ5 2 1
MCDJ6 2 1
MCDJ7 2 1
MCDJ8 2 1
MCDJ9 2 1
MCNA10 1 2
MCNA11 1 2
MCNA12 1 2
MCNA13 1 2
MCNA14 1 2
MCNA15 1 2
MCNA16 1 2
MCNA17 1 2
MCNA18 1 2
MCNA19 1 2
MCNA1 1 2
MCNA20 1 2
MCNA2 1 2
MCNA3 1 2
MCNA4 1 2
MCNA5 1 2
MCNA6 1 2
MCNA7 1 2
MCNA8 2 1.2
MCNA9 1 1.2
MCNJ10 1 2
MCNJ13 1 2
MCNJ14 1 2
MCNJ15 1 2
MCNJ16 1 2
MCNJ17 1 2
MCNJ18 1 2
MCNJ19 1 2
MCNJ1 1 2
MCNJ20 1 2
MCNJ2 1 2
MCNJ3 1 2
MCNJ4 1 2
MCNJ5 1 2
MCNJ6 1 2
MCNJ7 1 2
MCNJ9 1 2
MCOA10 2 1
MCOA11 1 2
MCOA12 1 2
MCOA13 1 2
MCOA15 1 2
MCOA16 1 2
MCOA17 1 2
MCOA18 1 2
MCOA19 1 2
MCOA1 1 2
MCOA20 1 2
MCOA2 1 2
MCOA3 1 2
MCOA4 1 2
MCOA6 1 2
MCOA7 1 2
MCOA8 1 2
MCOA9 2 1
MCOJ10 1 2
MCOJ12 1 2
MCOJ14 1 2
MCOJ16 1 2
MCOJ17 1 2
MCOJ18 1 2
MCOJ19 1 2
MCOJ2 1 2
MCOJ3 1 2
MCOJ4 1 2
MCOJ5 1 2
MCOJ7 1 2
MCOJ8 1 2
MCOJ9 1 2
