bams kmeans admix
SSDA10 3 2
SSDA11 3 2
SSDA12 3 2
SSDA13 3 2
SSDA14 1 1
SSDA15 1 1.2
SSDA16 3 2
SSDA17 1 1
SSDA18 3 2
SSDA19 3 2
SSDA1 3 3
SSDA20 3 2
SSDA2 1 1
SSDA3 3 2.3
SSDA4 1 1.3
SSDA5 1 1.3
SSDA6 3 2
SSDA7 3 2
SSDA8 1 1
SSDA9 3 2
SSDJ10 3 2
SSDJ11 3 2
SSDJ12 3 2
SSDJ13 3 2.3
SSDJ14 1 1
SSDJ15 3 2
SSDJ16 3 2
SSDJ17 3 2
SSDJ18 3 2
SSDJ19 3 2
SSDJ1 3 2.3
SSDJ20 3 2.3
SSDJ2 3 2
SSDJ3 1 1
SSDJ4 3 2.3
SSDJ5 3 3
SSDJ6 3 3
SSDJ7 3 2
SSDJ8 3 2
SSDJ9 3 2
SSNA10 3 2.3
SSNA11 3 2
SSNA12 3 3
SSNA13 3 2
SSNA14 1 1.2
SSNA15 3 2
SSNA16 3 2
SSNA17 3 2
SSNA18 3 2
SSNA19 3 2
SSNA1 3 2
SSNA20 3 2
SSNA2 3 2.3
SSNA3 3 2.3
SSNA4 3 2.3
SSNA5 3 2
SSNA6 3 2
SSNA7 3 2.3
SSNA8 3 2.3
SSNA9 3 2
SSNJ10 3 2
SSNJ11 1 1.2
SSNJ12 2 1
SSNJ13 2 1
SSNJ17 3 2
SSNJ18 2 1
SSNJ19 2 1
SSNJ1 2 1.3
SSNJ20 3 2
SSNJ2 3 2
SSNJ3 3 2.3
SSNJ4 3 2.3
SSNJ5 3 2
SSNJ6 3 3
SSNJ7 3 2
SSNJ8 3 2
SSNJ9 3 2
SSOA10 3 3
SSOA11 3 3
SSOA14 3 3
SSOA15 3 2
SSOA16 3 2.3
SSOA17 3 2.3
SSOA18 3 3
SSOA19 3 2.3
SSOA20 3 2
SSOA2 3 3
SSOA3 3 3
SSOA4 3 3
SSOA5 3 3
SSOA7 3 3
SSOA8 3 2.3
SSOJ10 3 2.3
SSOJ11 3 1.2
SSOJ12 3 2
SSOJ13 3 2
SSOJ14 1 1
SSOJ15 3 2
SSOJ16 3 2.3
SSOJ17 3 3
SSOJ18 3 3
SSOJ19 3 2
SSOJ1 3 2.3
SSOJ20 3 2
SSOJ2 3 2.3
SSOJ3 3 2.3
SSOJ4 3 2.3
SSOJ5 1 1.3
SSOJ6 3 2
SSOJ7 3 2.3
SSOJ8 3 2.3
SSOJ9 3 2.3
