CHROM POS prob log10.PO. qval alpha fst
Sc0000002 882261 0.9994 3.2215 0.00012002 1.5636 0.40692
Sc0000015 811507 0.90558 0.98187 0.017857 1.1416 0.32508
Sc0000016 592296 0.9994 3.2215 0.00012002 1.9471 0.48939
Sc0000021 915683 0.9968 2.4934 0.00069728 1.4795 0.38974
Sc0000032 966335 1 1000 0 1.9412 0.48803
Sc0000049 318869 0.9876 1.9011 0.0021743 1.4258 0.37956
Sc0000051 653699 0.89418 0.92685 0.021109 1.3737 0.37447
Sc0000054 582082 0.81076 0.63189 0.040569 1.2166 0.34589
Sc0000055 92478 0.84517 0.73709 0.033234 1.1641 0.33294
Sc0000055 429445 0.84417 0.73377 0.034611 1.2829 0.35833
Sc0000057 326572 0.86657 0.81256 0.030548 1.2416 0.34817
Sc0000058 255776 0.95999 1.3801 0.0086335 1.442 0.38507
Sc0000068 143460 0.96919 1.4978 0.0058994 1.3096 0.35612
Sc0000074 97995 0.9998 3.6988 2.0004e-05 1.6296 0.42111
Sc0000074 261303 0.9868 1.8736 0.0028373 1.2896 0.35072
Sc0000074 309907 1 1000 0 1.6899 0.43356
Sc0000082 94336 0.9988 2.9202 0.00022862 1.3476 0.3619
Sc0000085 173879 0.9862 1.854 0.0032595 1.2937 0.35182
Sc0000098 185585 0.9964 2.442 0.00077793 1.6858 0.43399
Sc0000098 496390 0.78916 0.57321 0.044017 0.99546 0.30089
Sc0000098 598312 0.96439 1.4327 0.007654 1.2626 0.34661
Sc0000099 478980 0.9996 3.3977 5.4556e-05 1.642 0.42394
Sc0000099 478982 0.999 2.9995 0.00015388 1.6348 0.42257
Sc0000100 612894 0.87738 0.85461 0.026909 1.267 0.35279
Sc0000103 51107 0.94139 1.2058 0.012023 1.51 0.40055
Sc0000118 454767 1 1000 0 2.2538 0.55579
Sc0000118 523757 1 1000 0 1.8977 0.47848
Sc0000121 124232 0.94819 1.2625 0.009962 1.3808 0.3728
Sc0000129 427287 0.86977 0.82471 0.029338 1.1754 0.33377
Sc0000132 93588 0.88898 0.90348 0.022247 1.1307 0.32337
Sc0000138 587364 0.9902 2.0044 0.0019471 1.2742 0.34744
Sc0000176 448108 0.9914 2.0617 0.0017685 1.5737 0.41065
Sc0000190 197795 1 1000 0 1.8125 0.46019
Sc0000190 383801 0.94819 1.2625 0.009962 1.3975 0.37628
Sc0000190 383804 0.94679 1.2503 0.010617 1.3974 0.3764
Sc0000207 129841 0.97039 1.5156 0.0049937 1.326 0.35974
Sc0000207 231389 0.996 2.3961 0.00086504 1.4935 0.39292
Sc0000217 157710 1 1000 0 1.4151 0.37549
Sc0000218 357628 0.88238 0.87516 0.024595 1.013 0.29962
Sc0000235 161765 0.9994 3.2215 0.00012002 1.9523 0.49064
Sc0000240 440691 0.9872 1.8871 0.0024005 1.3767 0.36937
Sc0000255 377151 0.9976 2.6187 0.00039363 1.4897 0.39193
Sc0000257 278487 0.90438 0.97581 0.01888 1.1681 0.33027
Sc0000266 297492 0.9924 2.1158 0.0016096 1.5819 0.41245
Sc0000272 224423 0.997 2.5215 0.00054556 1.4881 0.39184
Sc0000272 224443 0.9968 2.4934 0.00069728 1.5183 0.39815
Sc0000277 331065 0.9986 2.8532 0.00026902 1.4721 0.38806
Sc0000298 203368 0.97299 1.5567 0.0041065 1.195 0.33205
Sc0000302 306383 0.86997 0.82548 0.028137 1.1063 0.31936
Sc0000303 212278 0.93319 1.1451 0.014256 1.1266 0.32034
Sc0000311 153888 0.993 2.1518 0.001467 1.5313 0.40167
Sc0000319 150661 0.78736 0.56852 0.045774 0.99062 0.29983
Sc0000334 87181 0.96899 1.4949 0.0067505 1.3063 0.35556
Sc0000344 220504 0.9938 2.2048 0.0011952 1.4499 0.38397
Sc0000354 228782 0.9958 2.3748 0.00095282 1.5246 0.39972
Sc0000356 61789 0.82396 0.67031 0.038953 0.96722 0.2931
Sc0000360 161453 1 1000 0 2.052 0.51209
Sc0000375 54942 0.91658 1.0409 0.016822 1.1714 0.33037
Sc0000375 76425 0.9996 3.3977 5.4556e-05 1.5816 0.4103
Sc0000386 177730 0.78416 0.56026 0.047527 0.97134 0.29619
Sc0000390 180152 0.987 1.8803 0.0026214 1.5314 0.40195
Sc0000390 180162 0.89418 0.92685 0.021109 1.268 0.35191
Sc0000399 110103 0.9756 1.6018 0.0036661 1.2224 0.33765
Sc0000400 249314 0.9998 3.6988 2.0004e-05 1.6466 0.42456
Sc0000408 50663 0.83697 0.71043 0.036038 1.1126 0.32291
Sc0000418 26437 0.94179 1.2089 0.011328 1.3972 0.37665
Sc0000418 133134 0.9866 1.8669 0.0030486 1.5138 0.39845
Sc0000445 230052 0.9932 2.1644 0.001332 1.3173 0.35605
Sc0000480 58913 1 1000 0 2.0567 0.51326
Sc0000480 91460 1 1000 0 1.7871 0.45432
Sc0000500 111788 0.93459 1.155 0.013506 1.4493 0.3879
Sc0000502 25037 1 1000 0 2.04 0.50947
Sc0000510 120387 0.80216 0.60795 0.042242 1.2006 0.34317
Sc0000510 131249 0.96919 1.4978 0.0058994 1.2787 0.3498
Sc0000521 100446 0.97259 1.5501 0.0045379 1.2813 0.35024
Sc0000549 106141 1 1000 0 2.0292 0.50725
Sc0000549 117908 1 1000 0 1.9322 0.48599
Sc0000549 117921 1 1000 0 1.6523 0.42559
Sc0000551 121940 0.9946 2.2652 0.0010669 1.3023 0.35295
